 PAR= 50 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 60 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 70 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 80 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 90 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 100 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 110 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 120 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 130 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 140 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 150 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 160 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 170 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 180 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 190 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 200 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 210 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 220 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 230 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 240 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 250 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 260 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 270 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 280 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 290 {'An': 0, 'cp': 42.75, 'Ci': 407.28000000000003, 'Vc': 0, 'E': 0, 'gs': 0}
 PAR= 300 {'An': 0.11032302594615595, 'cp': 42.75, 'Ci': 334.8374651655994, 'Vc': 0.7737699432291971, 'E': 0.0023607986681273133, 'gs': 4.850370562388711}
 PAR= 310 {'An': 0.5854006815691208, 'cp': 42.75, 'Ci': 331.2299016387411, 'Vc': 4.162516382561206, 'E': 0.01222708455376118, 'gs': 26.141464338692344}
 PAR= 320 {'An': 1.0221131197296736, 'cp': 42.75, 'Ci': 327.8810048769461, 'Vc': 7.3637910038825165, 'E': 0.020853385811761743, 'gs': 46.32529216750002}
 PAR= 330 {'An': 1.4245703234733125, 'cp': 42.75, 'Ci': 324.76404770533355, 'Vc': 10.39308313854592, 'E': 0.028410323023265113, 'gs': 65.48523453260687}
 PAR= 340 {'An': 1.7963419438055028, 'cp': 42.75, 'Ci': 321.8558543886499, 'Vc': 13.264174537045704, 'E': 0.03504137701301744, 'gs': 83.6965568031798}
 PAR= 350 {'An': 2.140540659546648, 'cp': 42.75, 'Ci': 319.13623006406095, 'Vc': 15.989375437784503, 'E': 0.040867826448121085, 'gs': 101.02737074305922}
 PAR= 360 {'An': 2.459890882471487, 'cp': 42.75, 'Ci': 316.5874967964491, 'Vc': 18.579721361305364, 'E': 0.04599267504713406, 'gs': 117.53946217273511}
 PAR= 370 {'An': 2.7567856830727955, 'cp': 42.75, 'Ci': 314.1941136885996, 'Vc': 21.045138253413334, 'E': 0.05050379743628739, 'gs': 133.28900619023023}
 PAR= 380 {'An': 3.0333341923429935, 'cp': 42.75, 'Ci': 311.9423637849498, 'Vc': 23.39458191652102, 'E': 0.054476475909204104, 'gs': 148.32718748130193}
 PAR= 390 {'An': 3.291401260150162, 'cp': 42.75, 'Ci': 309.82009444820613, 'Vc': 25.63615639934521, 'E': 0.05797545879794711, 'gs': 162.70074015992506}
 PAR= 400 {'An': 3.5326407845583163, 'cp': 42.75, 'Ci': 307.8165008433764, 'Vc': 27.777215048639246, 'E': 0.06105664046391723, 'gs': 176.4524190995061}
 PAR= 410 {'An': 3.758523842087818, 'cp': 42.75, 'Ci': 305.92194440037775, 'Vc': 29.82444718367788, 'E': 0.06376844002706061, 'gs': 189.62141271070772}
 PAR= 420 {'An': 3.970362526724414, 'cp': 42.75, 'Ci': 304.1277998336985, 'Vc': 31.783952777881705, 'E': 0.06615293873826666, 'gs': 202.24370549178428}
 PAR= 430 {'An': 4.169330230830253, 'cp': 42.75, 'Ci': 302.4263256113847, 'Vc': 33.66130708116668, 'E': 0.06824682285082496, 'gs': 214.3523973446787}
 PAR= 440 {'An': 4.356478963029101, 'cp': 42.75, 'Ci': 300.8105537842844, 'Vc': 35.46161676120037, 'E': 0.07008216887971316, 'gs': 225.97798555477277}
 PAR= 450 {'An': 4.532754188376362, 'cp': 42.75, 'Ci': 299.27419588195676, 'Vc': 37.189568859494656, 'E': 0.07168710046991843, 'gs': 237.14861442755696}
 PAR= 460 {'An': 4.699007588418792, 'cp': 42.75, 'Ci': 297.81156220704, 'Vc': 38.849473632555004, 'E': 0.07308634015648005, 'gs': 247.89029682498236}
 PAR= 470 {'An': 4.8560080683175295, 'cp': 42.75, 'Ci': 296.4174923546808, 'Vc': 40.44530216663516, 'E': 0.07430167467008537, 'gs': 258.2271112189534}
 PAR= 480 {'An': 5.004451281379647, 'cp': 42.75, 'Ci': 295.08729517748134, 'Vc': 41.980719507530615, 'E': 0.07535234881209098, 'gs': 268.1813773563418}
 PAR= 490 {'An': 5.144967895281553, 'cp': 42.75, 'Ci': 293.8166967317275, 'Vc': 43.45911392702213, 'E': 0.07625540005978006, 'gs': 277.7738131907234}
 PAR= 500 {'An': 5.278130786768674, 'cp': 42.75, 'Ci': 292.60179499445013, 'Vc': 44.883622849454696, 'E': 0.07702594379207242, 'gs': 287.02367536589463}
 PAR= 510 {'An': 5.4044613209607295, 'cp': 42.75, 'Ci': 291.43902034621107, 'Vc': 46.257155881170085, 'E': 0.07767741721576399, 'gs': 295.9488852232982}
 PAR= 520 {'An': 5.52443484623013, 'cp': 42.75, 'Ci': 290.32510098146093, 'Vc': 47.58241531870407, 'E': 0.07822178862211226, 'gs': 304.5661420399901}
 PAR= 530 {'An': 5.638485514889128, 'cp': 42.75, 'Ci': 289.2570325446977, 'Vc': 48.86191445615223, 'E': 0.07866973743613197, 'gs': 312.8910249779211}
 PAR= 540 {'An': 5.747010522774538, 'cp': 42.75, 'Ci': 288.2320514025741, 'Vc': 50.097993965773746, 'E': 0.07903080957687864, 'gs': 320.93808503247277}
 PAR= 550 {'An': 5.850373846587898, 'cp': 42.75, 'Ci': 287.24761105432384, 'Vc': 51.29283658708219, 'E': 0.07931355188024589, 'gs': 328.7209281032244}
 PAR= 560 {'An': 5.948909545996492, 'cp': 42.75, 'Ci': 286.3013612591957, 'Vc': 52.448480327004674, 'E': 0.079525628710459, 'gs': 336.2522901683176}
 PAR= 570 {'An': 6.0429246875963845, 'cp': 42.75, 'Ci': 285.39112952297876, 'Vc': 53.56683034610518, 'E': 0.07967392337440926, 'gs': 343.54410542195944}
 PAR= 580 {'An': 6.132701939536209, 'cp': 42.75, 'Ci': 284.51490463856913, 'Vc': 54.649669682487435, 'E': 0.07976462653210029, 'gs': 350.6075681295271}
 PAR= 590 {'An': 6.21850187861882, 'cp': 42.75, 'Ci': 283.6708220197678, 'Vc': 55.69866894510765, 'E': 0.07980331344926543, 'gs': 357.45318886385024}
 PAR= 600 {'An': 6.30056504580996, 'cp': 42.75, 'Ci': 282.85715060465213, 'Vc': 56.71539509126496, 'E': 0.07979501165076579, 'gs': 364.09084570753424}
 PAR= 610 {'An': 6.3791137811028005, 'cp': 42.75, 'Ci': 282.0722811361681, 'Vc': 57.70131938851658, 'E': 0.07974426029458823, 'gs': 370.52983093776896}
 PAR= 620 {'An': 6.454353864462593, 'cp': 42.75, 'Ci': 281.3147156540525, 'Vc': 58.65782464879701, 'E': 0.07965516238724678, 'gs': 376.77889365050595}
 PAR= 630 {'An': 6.526475985983904, 'cp': 42.75, 'Ci': 280.5830580546272, 'Vc': 59.58621181179888, 'E': 0.07953143079501905, 'gs': 382.84627872901063}
 PAR= 640 {'An': 6.595657065328399, 'cp': 42.75, 'Ci': 279.87600559409515, 'Vc': 60.48770594539604, 'E': 0.07937642886590357, 'gs': 388.739762516293}
 PAR= 650 {'An': 6.662061437893766, 'cp': 42.75, 'Ci': 279.19234122723157, 'Vc': 61.363461722888815, 'E': 0.07919320635985906, 'gs': 394.4666855112842}
 PAR= 660 {'An': 6.725841922919017, 'cp': 42.75, 'Ci': 278.53092668729107, 'Vc': 62.21456842987713, 'E': 0.07898453128588989, 'gs': 400.03398237359676}
 PAR= 670 {'An': 6.787140786804799, 'cp': 42.75, 'Ci': 277.8906962248785, 'Vc': 63.04205454752976, 'E': 0.0787529181608571, 'gs': 405.4482094911637}
 PAR= 680 {'An': 6.846090613267127, 'cp': 42.75, 'Ci': 277.27065093379554, 'Vc': 63.846891953731486, 'E': 0.07850065313390409, 'gs': 410.7155703379256}
 PAR= 690 {'An': 6.902815090511324, 'cp': 42.75, 'Ci': 276.66985360071646, 'Vc': 64.6299997789863, 'E': 0.0782298163600562, 'gs': 415.84193882498175}
 PAR= 700 {'An': 6.957429724374318, 'cp': 42.75, 'Ci': 276.0874240231894, 'Vc': 65.39224794991105, 'E': 0.07794230195512643, 'gs': 420.8328808275044}
 PAR= 710 {'An': 7.01004248531051, 'cp': 42.75, 'Ci': 275.52253474707214, 'Vc': 66.1344604496139, 'E': 0.07763983582013662, 'gs': 425.69367405109693}
 PAR= 720 {'An': 7.060754396164706, 'cp': 42.75, 'Ci': 274.9744071802558, 'Vc': 66.85741832113659, 'E': 0.0773239915858548, 'gs': 430.429326384752}
 PAR= 730 {'An': 7.109660066864498, 'cp': 42.75, 'Ci': 274.44230804452593, 'Vc': 67.56186243738871, 'E': 0.0769962048957685, 'gs': 435.044592872855}
 PAR= 740 {'An': 7.1568481814579235, 'cp': 42.75, 'Ci': 273.92554613176327, 'Vc': 68.24849605858199, 'E': 0.07665778621806177, 'gs': 439.5439914256434}
 PAR= 750 {'An': 7.2024019423050785, 'cp': 42.75, 'Ci': 273.42346933448925, 'Vc': 68.91798719603017, 'E': 0.07630993235324438, 'gs': 443.93181737592005}
 PAR= 760 {'An': 7.246399475691765, 'cp': 42.75, 'Ci': 272.9354619240912, 'Vc': 69.57097079927607, 'E': 0.07595373678341881, 'gs': 448.2121569793977}
